"timestamp","customer-transaction-count","NA"
2018-02-06 20:00:00,249,1
2018-02-06 20:13:54,186,1
2018-02-06 21:00:00,167,1
2018-02-06 21:47:32,148,1
2018-02-06 22:00:00,75.5,1
2018-02-06 22:02:23,3,1
2018-02-06 23:00:00,0,1
2018-02-06 23:00:00,0,1
2018-02-07 00:00:00,0,1
2018-02-07 00:00:00,0,1
2018-02-07 01:00:00,0,1
2018-02-07 01:00:00,0,1
2018-02-07 02:00:00,0,1
2018-02-07 02:00:00,0,1
2018-02-07 03:00:00,0,1
2018-02-07 03:00:00,0,1
2018-02-07 04:00:00,0,1
2018-02-07 04:00:00,0,1
2018-02-07 05:00:00,0,1
2018-02-07 05:00:00,0,1
2018-02-07 06:00:00,0,1
2018-02-07 06:51:43,10,1
2018-02-07 07:00:00,72.5,1
2018-02-07 07:13:07,135,1
2018-02-07 08:00:00,152.5,1
2018-02-07 08:41:15,170,1
2018-02-07 09:00:00,208.5,1
2018-02-07 09:27:00,247,1
2018-02-07 10:00:00,278.5,1
2018-02-07 10:25:56,310,1
2018-02-07 11:00:00,334,1
2018-02-07 11:14:17,358,1
2018-02-07 12:00:00,365.5,1
2018-02-07 12:22:25,399.277366686942,1
2018-02-07 13:00:00,356,1
2018-02-07 13:31:16,339,1
2018-02-07 14:00:00,320.5,1
2018-02-07 14:18:53,302,1
2018-02-07 15:00:00,293.5,1
2018-02-07 15:17:37,225.091736796999,1
2018-02-07 16:00:00,326.5,1
2018-02-07 16:46:15,426.75797818169,1
2018-02-07 17:00:00,366,1
2018-02-07 17:41:32,364,1
2018-02-07 18:00:00,359.5,1
2018-02-07 18:54:32,355,1
2018-02-07 19:00:00,310,1
2018-02-07 19:18:27,265,1
2018-02-07 20:00:00,245,1
2018-02-07 20:31:45,225,1
2018-02-07 21:00:00,202.5,1
2018-02-07 21:47:43,180,1
2018-02-07 22:00:00,92.5,1
2018-02-07 22:03:14,5,1
2018-02-07 23:00:00,0,1
2018-02-07 23:00:00,0,1
2018-02-08 00:00:00,0,1
2018-02-08 00:00:00,0,1
2018-02-08 01:00:00,0,1
2018-02-08 01:00:00,0,1
2018-02-08 02:00:00,0,1
2018-02-08 02:00:00,0,1
2018-02-08 03:00:00,0,1
2018-02-08 03:00:00,0,1
2018-02-08 04:00:00,0,1
2018-02-08 04:00:00,0,1
2018-02-08 05:00:00,0,1
2018-02-08 05:00:00,0,1
2018-02-08 06:00:00,0,1
2018-02-08 06:57:20,6,1
2018-02-08 07:00:00,135,1
2018-02-08 07:15:15,264,1
2018-02-08 08:00:00,308,1
2018-02-08 08:28:22,352,1
2018-02-08 09:00:00,391.5,1
2018-02-08 09:31:16,431,1
2018-02-08 10:00:00,474,1
2018-02-08 10:39:32,581.175540511943,1
2018-02-08 11:00:00,502.5,1
2018-02-08 11:34:38,463.864963227706,1
2018-02-08 12:00:00,497,1
2018-02-08 12:18:16,561.915114235777,1
2018-02-08 13:00:00,467.5,1
2018-02-08 13:22:07,429,1
2018-02-08 14:00:00,406.5,1
2018-02-08 14:37:54,349.460167921659,1
2018-02-08 15:00:00,393.5,1
2018-02-08 15:23:40,432.410882339705,1
2018-02-08 16:00:00,384.5,1
2018-02-08 16:28:03,324.805340151908,1
2018-02-08 17:00:00,388.5,1
2018-02-08 17:28:22,460.162994213127,1
2018-02-08 18:00:00,384.5,1
2018-02-08 18:34:33,358,1
2018-02-08 19:00:00,322,1
2018-02-08 19:26:30,286,1
2018-02-08 20:00:00,257.5,1
2018-02-08 20:21:34,229,1
2018-02-08 21:00:00,213,1
